,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,washer
0,6963,5026963,5026963,33.0
1,6964,5026964,5026964,7.0
2,6965,5026965,5026965,6.0
3,6966,5026966,5026966,6.0
4,6967,5026967,5026967,6.0
5,6968,5026968,5026968,6.0
6,6969,5026969,5026969,6.0
7,6970,5026970,5026970,6.0
8,6971,5026971,5026971,6.0
9,6972,5026972,5026972,11.0
10,6973,5026973,5026973,11.0
11,6974,5026974,5026974,11.0
12,6975,5026975,5026975,11.0
13,6976,5026976,5026976,11.0
14,6977,5026977,5026977,11.0
15,6978,5026978,5026978,11.0
16,6979,5026979,5026979,11.0
17,6980,5026980,5026980,16.0
18,6981,5026981,5026981,16.0
19,6982,5026982,5026982,16.0
20,6983,5026983,5026983,16.0
21,6984,5026984,5026984,16.0
22,6985,5026985,5026985,16.0
23,6986,5026986,5026986,16.0
24,6987,5026987,5026987,16.0
25,6988,5026988,5026988,16.0
26,6989,5026989,5026989,16.0
27,6990,5026990,5026990,16.0
28,6991,5026991,5026991,16.0
29,6992,5026992,5026992,16.0
30,6993,5026993,5026993,16.0
31,6994,5026994,5026994,16.0
32,6995,5026995,5026995,16.0
33,6996,5026996,5026996,16.0
34,6997,5026997,5026997,16.0
35,6998,5026998,5026998,16.0
36,6999,5026999,5026999,16.0
37,7000,5027000,5027000,16.0
38,7001,5027001,5027001,16.0
39,7002,5027002,5027002,16.0
40,7003,5027003,5027003,16.0
41,7004,5027004,5027004,16.0
42,7005,5027005,5027005,16.0
43,7006,5027006,5027006,16.0
44,7007,5027007,5027007,16.0
45,7008,5027008,5027008,16.0
46,7009,5027009,5027009,6.0
47,7010,5027010,5027010,6.0
48,7011,5027011,5027011,6.0
49,7012,5027012,5027012,6.0
50,7013,5027013,5027013,22.0
51,7014,5027014,5027014,238.0
52,7015,5027015,5027015,87.0
53,7016,5027016,5027016,31.0
54,7017,5027017,5027017,47.0
55,7018,5027018,5027018,130.0
56,7019,5027019,5027019,133.0
57,7020,5027020,5027020,50.0
58,7021,5027021,5027021,61.0
59,7022,5027022,5027022,113.0
60,7023,5027023,5027023,122.0
61,7024,5027024,5027024,78.0
62,7025,5027025,5027025,76.0
63,7026,5027026,5027026,75.0
64,7027,5027027,5027027,89.0
65,7028,5027028,5027028,90.0
