,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,washer
0,35796,4135796,4135796,62.0
1,35797,4135797,4135797,8.0
2,35798,4135798,4135798,7.0
3,35799,4135799,4135799,8.0
4,35800,4135800,4135800,7.0
5,35801,4135801,4135801,8.0
6,35802,4135802,4135802,8.0
7,35803,4135803,4135803,7.0
8,35804,4135804,4135804,7.0
9,35805,4135805,4135805,13.0
10,35806,4135806,4135806,13.0
11,35807,4135807,4135807,12.0
12,35808,4135808,4135808,13.0
13,35809,4135809,4135809,12.0
14,35810,4135810,4135810,13.0
15,35811,4135811,4135811,13.0
16,35812,4135812,4135812,12.0
17,35813,4135813,4135813,18.0
18,35814,4135814,4135814,18.0
19,35815,4135815,4135815,18.0
20,35816,4135816,4135816,18.0
21,35817,4135817,4135817,18.0
22,35818,4135818,4135818,18.0
23,35819,4135819,4135819,18.0
24,35820,4135820,4135820,18.0
25,35821,4135821,4135821,18.0
26,35822,4135822,4135822,18.0
27,35823,4135823,4135823,18.0
28,35824,4135824,4135824,18.0
29,35825,4135825,4135825,18.0
30,35826,4135826,4135826,18.0
31,35827,4135827,4135827,17.0
32,35828,4135828,4135828,18.0
33,35829,4135829,4135829,17.0
34,35830,4135830,4135830,18.0
35,35831,4135831,4135831,18.0
36,35832,4135832,4135832,18.0
37,35833,4135833,4135833,18.0
38,35834,4135834,4135834,18.0
39,35835,4135835,4135835,18.0
40,35836,4135836,4135836,18.0
41,35837,4135837,4135837,17.0
42,35838,4135838,4135838,18.0
43,35839,4135839,4135839,18.0
44,35840,4135840,4135840,18.0
45,35841,4135841,4135841,17.0
46,35842,4135842,4135842,7.0
47,35843,4135843,4135843,7.0
48,35844,4135844,4135844,7.0
49,35845,4135845,4135845,7.0
50,35846,4135846,4135846,119.0
51,35847,4135847,4135847,122.0
52,35848,4135848,4135848,103.0
53,35849,4135849,4135849,68.0
54,35850,4135850,4135850,124.0
55,35851,4135851,4135851,105.0
56,35852,4135852,4135852,110.0
57,35853,4135853,4135853,136.0
58,35854,4135854,4135854,139.0
59,35855,4135855,4135855,80.0
60,35856,4135856,4135856,109.0
61,35857,4135857,4135857,87.0
62,35858,4135858,4135858,81.0
63,35859,4135859,4135859,68.0
64,35860,4135860,4135860,181.0
65,35861,4135861,4135861,73.0
66,35862,4135862,4135862,109.0
67,35863,4135863,4135863,15.0
68,35864,4135864,4135864,7.0
69,35865,4135865,4135865,7.0
70,35866,4135866,4135866,95.0
71,35867,4135867,4135867,16.0
72,35868,4135868,4135868,95.0
73,35869,4135869,4135869,94.0
74,35870,4135870,4135870,105.0
75,35871,4135871,4135871,73.0
76,35872,4135872,4135872,159.0
77,35873,4135873,4135873,127.0
78,35874,4135874,4135874,101.0
79,35875,4135875,4135875,87.0
80,35876,4135876,4135876,130.0
81,35877,4135877,4135877,42.0
82,35878,4135878,4135878,107.0
83,35879,4135879,4135879,121.0
84,35880,4135880,4135880,67.0
85,35881,4135881,4135881,103.0
86,35882,4135882,4135882,123.0
87,35883,4135883,4135883,27.0
88,35884,4135884,4135884,7.0
89,35885,4135885,4135885,7.0
90,35886,4135886,4135886,90.0
91,35887,4135887,4135887,84.0
92,35888,4135888,4135888,83.0
93,35889,4135889,4135889,101.0
94,35890,4135890,4135890,134.0
95,35891,4135891,4135891,69.0
96,35892,4135892,4135892,90.0
97,35893,4135893,4135893,109.0
98,35894,4135894,4135894,81.0
99,35895,4135895,4135895,141.0
100,35896,4135896,4135896,120.0
101,35897,4135897,4135897,128.0
102,35898,4135898,4135898,127.0
103,35899,4135899,4135899,86.0
104,35900,4135900,4135900,112.0
105,35901,4135901,4135901,100.0
106,35902,4135902,4135902,78.0
107,35903,4135903,4135903,69.0
108,35904,4135904,4135904,7.0
109,35905,4135905,4135905,7.0
110,35906,4135906,4135906,74.0
111,35907,4135907,4135907,177.0
112,35908,4135908,4135908,128.0
113,35909,4135909,4135909,83.0
114,35910,4135910,4135910,94.0
115,35911,4135911,4135911,104.0
116,35912,4135912,4135912,106.0
117,35913,4135913,4135913,101.0
118,35914,4135914,4135914,105.0
119,35915,4135915,4135915,108.0
120,35916,4135916,4135916,117.0
121,35917,4135917,4135917,58.0
122,35918,4135918,4135918,100.0
123,35919,4135919,4135919,104.0
124,35920,4135920,4135920,57.0
125,35921,4135921,4135921,132.0
126,35922,4135922,4135922,116.0
127,35923,4135923,4135923,75.0
128,35924,4135924,4135924,7.0
129,35925,4135925,4135925,7.0
130,35926,4135926,4135926,54.0
131,35927,4135927,4135927,169.0
132,35928,4135928,4135928,92.0
133,35929,4135929,4135929,115.0
134,35930,4135930,4135930,77.0
135,35931,4135931,4135931,118.0
136,35932,4135932,4135932,114.0
