,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,washer
0,1013,2005013,2005013,15.0
1,1014,2005014,2005014,6.0
2,1015,2005015,2005015,6.0
3,1016,2005016,2005016,6.0
4,1017,2005017,2005017,6.0
5,1018,2005018,2005018,6.0
6,1019,2005019,2005019,6.0
7,1020,2005020,2005020,6.0
8,1021,2005021,2005021,6.0
9,1022,2005022,2005022,11.0
10,1023,2005023,2005023,11.0
11,1024,2005024,2005024,11.0
12,1025,2005025,2005025,11.0
13,1026,2005026,2005026,11.0
14,1027,2005027,2005027,11.0
15,1028,2005028,2005028,11.0
16,1029,2005029,2005029,11.0
17,1030,2005030,2005030,16.0
18,1031,2005031,2005031,16.0
19,1032,2005032,2005032,16.0
20,1033,2005033,2005033,16.0
21,1034,2005034,2005034,16.0
22,1035,2005035,2005035,16.0
23,1036,2005036,2005036,16.0
24,1037,2005037,2005037,16.0
25,1038,2005038,2005038,16.0
26,1039,2005039,2005039,16.0
27,1040,2005040,2005040,16.0
28,1041,2005041,2005041,16.0
29,1042,2005042,2005042,16.0
30,1043,2005043,2005043,16.0
31,1044,2005044,2005044,16.0
32,1045,2005045,2005045,16.0
33,1046,2005046,2005046,16.0
34,1047,2005047,2005047,16.0
35,1048,2005048,2005048,16.0
36,1049,2005049,2005049,16.0
37,1050,2005050,2005050,16.0
38,1051,2005051,2005051,16.0
39,1052,2005052,2005052,16.0
40,1053,2005053,2005053,16.0
41,1054,2005054,2005054,16.0
42,1055,2005055,2005055,16.0
43,1056,2005056,2005056,16.0
44,1057,2005057,2005057,6.0
45,1058,2005058,2005058,6.0
46,1059,2005059,2005059,6.0
47,1060,2005060,2005060,6.0
48,1061,2005061,2005061,79.0
49,1062,2005062,2005062,165.0
50,1063,2005063,2005063,165.0
51,1064,2005064,2005064,62.0
52,1065,2005065,2005065,11.0
53,1066,2005066,2005066,100.0
54,1067,2005067,2005067,184.0
55,1068,2005068,2005068,97.0
56,1069,2005069,2005069,33.0
57,1070,2005070,2005070,35.0
58,1071,2005071,2005071,146.0
59,1072,2005072,2005072,128.0
60,1073,2005073,2005073,61.0
61,1074,2005074,2005074,23.0
62,1075,2005075,2005075,93.0
63,1076,2005076,2005076,168.0
64,1077,2005077,2005077,91.0
65,1078,2005078,2005078,42.0
66,1079,2005079,2005079,6.0
67,1080,2005080,2005080,6.0
68,1081,2005081,2005081,26.0
69,1082,2005082,2005082,201.0
70,1083,2005083,2005083,58.0
71,1084,2005084,2005084,13.0
72,1085,2005085,2005085,105.0
