,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,washer
0,106073,2496073,2496073,12.0
1,106074,2496074,2496074,7.0
2,106075,2496075,2496075,8.0
3,106076,2496076,2496076,7.0
4,106077,2496077,2496077,7.0
5,106078,2496078,2496078,7.0
6,106079,2496079,2496079,8.0
7,106080,2496080,2496080,7.0
8,106081,2496081,2496081,12.0
9,106082,2496082,2496082,13.0
10,106083,2496083,2496083,13.0
11,106084,2496084,2496084,12.0
12,106085,2496085,2496085,12.0
13,106086,2496086,2496086,12.0
14,106087,2496087,2496087,12.0
15,106088,2496088,2496088,12.0
16,106089,2496089,2496089,18.0
17,106090,2496090,2496090,18.0
18,106091,2496091,2496091,18.0
19,106092,2496092,2496092,17.0
20,106093,2496093,2496093,17.0
21,106094,2496094,2496094,17.0
22,106095,2496095,2496095,18.0
23,106096,2496096,2496096,17.0
24,106097,2496097,2496097,17.0
25,106098,2496098,2496098,18.0
26,106099,2496099,2496099,17.0
27,106100,2496100,2496100,17.0
28,106101,2496101,2496101,17.0
29,106102,2496102,2496102,17.0
30,106103,2496103,2496103,18.0
31,106104,2496104,2496104,18.0
32,106105,2496105,2496105,17.0
33,106106,2496106,2496106,19.0
34,106107,2496107,2496107,17.0
35,106108,2496108,2496108,17.0
36,106109,2496109,2496109,17.0
37,106110,2496110,2496110,17.0
38,106111,2496111,2496111,17.0
39,106112,2496112,2496112,17.0
40,106113,2496113,2496113,17.0
41,106114,2496114,2496114,17.0
42,106115,2496115,2496115,17.0
43,106116,2496116,2496116,17.0
44,106117,2496117,2496117,17.0
45,106118,2496118,2496118,17.0
46,106119,2496119,2496119,17.0
47,106120,2496120,2496120,17.0
48,106121,2496121,2496121,7.0
49,106122,2496122,2496122,7.0
50,106123,2496123,2496123,7.0
51,106124,2496124,2496124,7.0
52,106125,2496125,2496125,90.0
53,106126,2496126,2496126,113.0
54,106127,2496127,2496127,170.0
55,106128,2496128,2496128,110.0
56,106129,2496129,2496129,53.0
57,106130,2496130,2496130,73.0
58,106131,2496131,2496131,121.0
59,106132,2496132,2496132,142.0
60,106133,2496133,2496133,90.0
61,106134,2496134,2496134,68.0
62,106135,2496135,2496135,61.0
63,106136,2496136,2496136,114.0
64,106137,2496137,2496137,130.0
65,106138,2496138,2496138,65.0
66,106139,2496139,2496139,59.0
67,106140,2496140,2496140,82.0
68,106141,2496141,2496141,146.0
69,106142,2496142,2496142,43.0
70,106143,2496143,2496143,7.0
71,106144,2496144,2496144,7.0
72,106145,2496145,2496145,7.0
73,106146,2496146,2496146,7.0
74,106147,2496147,2496147,7.0
75,106148,2496148,2496148,18.0
