,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,washer
0,43665,3533665,3533665,11.0
1,43666,3533666,3533666,7.0
2,43667,3533667,3533667,8.0
3,43668,3533668,3533668,7.0
4,43669,3533669,3533669,7.0
5,43670,3533670,3533670,7.0
6,43671,3533671,3533671,7.0
7,43672,3533672,3533672,7.0
8,43673,3533673,3533673,12.0
9,43674,3533674,3533674,12.0
10,43675,3533675,3533675,12.0
11,43676,3533676,3533676,11.0
12,43677,3533677,3533677,12.0
13,43678,3533678,3533678,12.0
14,43679,3533679,3533679,12.0
15,43680,3533680,3533680,12.0
16,43681,3533681,3533681,18.0
17,43682,3533682,3533682,17.0
18,43683,3533683,3533683,17.0
19,43684,3533684,3533684,18.0
20,43685,3533685,3533685,17.0
21,43686,3533686,3533686,17.0
22,43687,3533687,3533687,17.0
23,43688,3533688,3533688,17.0
24,43689,3533689,3533689,17.0
25,43690,3533690,3533690,18.0
26,43691,3533691,3533691,18.0
27,43692,3533692,3533692,17.0
28,43693,3533693,3533693,17.0
29,43694,3533694,3533694,17.0
30,43695,3533695,3533695,18.0
31,43696,3533696,3533696,17.0
32,43697,3533697,3533697,17.0
33,43698,3533698,3533698,17.0
34,43699,3533699,3533699,17.0
35,43700,3533700,3533700,17.0
36,43701,3533701,3533701,17.0
37,43702,3533702,3533702,17.0
38,43703,3533703,3533703,17.0
39,43704,3533704,3533704,17.0
40,43705,3533705,3533705,17.0
41,43706,3533706,3533706,7.0
42,43707,3533707,3533707,7.0
43,43708,3533708,3533708,7.0
44,43709,3533709,3533709,7.0
45,43710,3533710,3533710,90.0
46,43711,3533711,3533711,88.0
47,43712,3533712,3533712,134.0
48,43713,3533713,3533713,89.0
49,43714,3533714,3533714,55.0
50,43715,3533715,3533715,50.0
51,43716,3533716,3533716,95.0
52,43717,3533717,3533717,99.0
53,43718,3533718,3533718,76.0
54,43719,3533719,3533719,57.0
55,43720,3533720,3533720,60.0
56,43721,3533721,3533721,94.0
57,43722,3533722,3533722,81.0
58,43723,3533723,3533723,69.0
59,43724,3533724,3533724,58.0
60,43725,3533725,3533725,74.0
61,43726,3533726,3533726,88.0
62,43727,3533727,3533727,79.0
63,43728,3533728,3533728,7.0
64,43729,3533729,3533729,7.0
