,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,washer
0,9505,1049505,1049505,11.0
1,9506,1049506,1049506,7.0
2,9507,1049507,1049507,8.0
3,9508,1049508,1049508,8.0
4,9509,1049509,1049509,7.0
5,9510,1049510,1049510,7.0
6,9511,1049511,1049511,7.0
7,9512,1049512,1049512,7.0
8,9513,1049513,1049513,13.0
9,9514,1049514,1049514,13.0
10,9515,1049515,1049515,12.0
11,9516,1049516,1049516,13.0
12,9517,1049517,1049517,13.0
13,9518,1049518,1049518,13.0
14,9519,1049519,1049519,12.0
15,9520,1049520,1049520,13.0
16,9521,1049521,1049521,18.0
17,9522,1049522,1049522,18.0
18,9523,1049523,1049523,18.0
19,9524,1049524,1049524,18.0
20,9525,1049525,1049525,18.0
21,9526,1049526,1049526,18.0
22,9527,1049527,1049527,18.0
23,9528,1049528,1049528,18.0
24,9529,1049529,1049529,18.0
25,9530,1049530,1049530,18.0
26,9531,1049531,1049531,18.0
27,9532,1049532,1049532,17.0
28,9533,1049533,1049533,18.0
29,9534,1049534,1049534,18.0
30,9535,1049535,1049535,18.0
31,9536,1049536,1049536,18.0
32,9537,1049537,1049537,17.0
33,9538,1049538,1049538,18.0
34,9539,1049539,1049539,18.0
35,9540,1049540,1049540,18.0
36,9541,1049541,1049541,18.0
37,9542,1049542,1049542,18.0
38,9543,1049543,1049543,18.0
39,9544,1049544,1049544,18.0
40,9545,1049545,1049545,18.0
41,9546,1049546,1049546,18.0
42,9547,1049547,1049547,18.0
43,9548,1049548,1049548,18.0
44,9549,1049549,1049549,7.0
45,9550,1049550,1049550,7.0
46,9551,1049551,1049551,7.0
47,9552,1049552,1049552,7.0
48,9553,1049553,1049553,190.0
49,9554,1049554,1049554,107.0
50,9555,1049555,1049555,117.0
51,9556,1049556,1049556,128.0
52,9557,1049557,1049557,143.0
53,9558,1049558,1049558,132.0
54,9559,1049559,1049559,77.0
55,9560,1049560,1049560,56.0
56,9561,1049561,1049561,109.0
57,9562,1049562,1049562,120.0
58,9563,1049563,1049563,129.0
59,9564,1049564,1049564,129.0
60,9565,1049565,1049565,92.0
61,9566,1049566,1049566,86.0
62,9567,1049567,1049567,95.0
63,9568,1049568,1049568,96.0
64,9569,1049569,1049569,118.0
65,9570,1049570,1049570,9.0
66,9571,1049571,1049571,7.0
67,9572,1049572,1049572,7.0
68,9573,1049573,1049573,121.0
69,9574,1049574,1049574,84.0
70,9575,1049575,1049575,118.0
71,9576,1049576,1049576,18.0
72,9577,1049577,1049577,18.0
73,9578,1049578,1049578,18.0
74,9579,1049579,1049579,18.0
75,9580,1049580,1049580,18.0
76,9581,1049581,1049581,18.0
77,9582,1049582,1049582,18.0
78,9583,1049583,1049583,18.0
79,9584,1049584,1049584,18.0
80,9585,1049585,1049585,18.0
81,9586,1049586,1049586,18.0
82,9587,1049587,1049587,18.0
83,9588,1049588,1049588,8.0
84,9589,1049589,1049589,7.0
