,time,dishwasher
770,3448270,7
771,3448271,7
772,3448272,7
773,3448273,7
774,3448274,7
775,3448275,7
776,3448276,7
777,3448277,7
778,3448278,7
779,3448279,7
780,3448280,7
781,3448281,7
782,3448282,7
783,3448283,7
784,3448284,7
785,3448285,7
786,3448286,7
787,3448287,7
788,3448288,7
789,3448289,7
790,3448290,7
791,3448291,7
792,3448292,7
793,3448293,7
794,3448294,7
795,3448295,7
796,3448296,7
797,3448297,7
798,3448298,7
799,3448299,7
800,3448300,7
801,3448301,7
802,3448302,7
803,3448303,7
804,3448304,7
805,3448305,7
806,3448306,7
807,3448307,7
808,3448308,7
809,3448309,7
810,3448310,41
811,3448311,69
812,3448312,68
813,3448313,48
814,3448314,50
815,3448315,7
816,3448316,7
817,3448317,7
818,3448318,7
819,3448319,7
820,3448320,7
821,3448321,7
822,3448322,7
823,3448323,7
824,3448324,7
825,3448325,7
826,3448326,7
827,3448327,7
828,3448328,7
829,3448329,7
830,3448330,7
831,3448331,7
832,3448332,7
833,3448333,7
834,3448334,7
835,3448335,7
836,3448336,7
837,3448337,7
838,3448338,7
839,3448339,7
840,3448340,1
841,3448341,1
842,3448342,1
843,3448343,1
844,3448344,1
845,3448345,2
846,3448346,64
847,3448347,63
848,3448348,62
849,3448349,63
850,3448350,63
851,3448351,62
852,3448352,57
853,3448353,58
854,3448354,58
855,3448355,58
856,3448356,57
857,3448357,58
858,3448358,57
859,3448359,58
860,3448360,57
861,3448361,58
862,3448362,58
863,3448363,57
864,3448364,58
865,3448365,58
866,3448366,57
867,3448367,57
868,3448368,57
869,3448369,58
870,3448370,57
871,3448371,57
872,3448372,57
873,3448373,57
874,3448374,57
875,3448375,1
876,3448376,1
877,3448377,1
878,3448378,1
879,3448379,1
880,3448380,17
881,3448381,62
882,3448382,63
883,3448383,64
884,3448384,62
885,3448385,64
886,3448386,62
887,3448387,57
888,3448388,58
889,3448389,57
890,3448390,57
891,3448391,58
892,3448392,58
893,3448393,57
894,3448394,58
895,3448395,57
896,3448396,58
897,3448397,57
898,3448398,57
899,3448399,58
900,3448400,57
901,3448401,57
902,3448402,57
903,3448403,57
904,3448404,57
905,3448405,57
906,3448406,57
907,3448407,57
908,3448408,57
909,3448409,57
910,3448410,1
911,3448411,1
912,3448412,1
913,3448413,1
914,3448414,1
915,3448415,2
916,3448416,63
917,3448417,62
918,3448418,63
919,3448419,64
920,3448420,61
921,3448421,62
922,3448422,58
923,3448423,58
924,3448424,57
925,3448425,57
926,3448426,58
927,3448427,57
928,3448428,57
929,3448429,57
930,3448430,57
931,3448431,57
932,3448432,57
933,3448433,57
934,3448434,58
935,3448435,58
936,3448436,58
937,3448437,58
938,3448438,57
939,3448439,57
940,3448440,58
941,3448441,57
942,3448442,57
943,3448443,58
944,3448444,57
945,3448445,1
946,3448446,1
947,3448447,1
948,3448448,1
949,3448449,1
950,3448450,2
951,3448451,63
952,3448452,63
953,3448453,63
954,3448454,62
955,3448455,64
956,3448456,62
957,3448457,58
958,3448458,57
959,3448459,57
960,3448460,58
961,3448461,58
962,3448462,57
963,3448463,58
964,3448464,57
965,3448465,58
966,3448466,57
967,3448467,58
968,3448468,57
969,3448469,58
970,3448470,57
971,3448471,57
972,3448472,58
973,3448473,58
974,3448474,58
975,3448475,58
976,3448476,57
977,3448477,57
978,3448478,57
979,3448479,58
980,3448480,57
981,3448481,1
982,3448482,1
983,3448483,1
984,3448484,1
985,3448485,1
986,3448486,62
987,3448487,62
988,3448488,62
989,3448489,62
