,Unnamed: 0,dishwasher
501842,501842,23.0
501843,501843,14.0
501844,501844,14.0
501845,501845,14.0
501846,501846,14.0
501847,501847,13.0
501848,501848,13.0
501849,501849,13.0
501850,501850,13.0
501851,501851,13.0
501852,501852,13.0
501853,501853,13.0
501854,501854,14.0
501855,501855,13.0
501856,501856,14.0
501857,501857,14.0
501858,501858,14.0
501859,501859,14.0
501860,501860,14.0
501861,501861,14.0
501862,501862,14.0
501863,501863,14.0
501864,501864,14.0
501865,501865,14.0
501866,501866,14.0
501867,501867,14.0
501868,501868,14.0
501869,501869,14.0
501870,501870,14.0
501871,501871,14.0
501872,501872,14.0
501873,501873,14.0
501874,501874,13.0
501875,501875,14.0
501876,501876,14.0
501877,501877,14.0
501878,501878,14.0
501879,501879,14.0
501880,501880,14.0
501881,501881,13.0
501882,501882,13.0
501883,501883,14.0
501884,501884,13.0
501885,501885,13.0
501886,501886,13.0
501887,501887,13.0
501888,501888,12.0
501889,501889,13.0
501890,501890,13.0
501891,501891,12.0
501892,501892,13.0
501893,501893,13.0
501894,501894,13.0
501895,501895,12.0
501896,501896,12.0
501897,501897,12.0
501898,501898,12.0
501899,501899,13.0
501900,501900,12.0
501901,501901,13.0
501902,501902,14.0
501903,501903,14.0
501904,501904,14.0
501905,501905,16.0
501906,501906,17.0
501907,501907,17.0
501908,501908,18.0
501909,501909,18.0
501910,501910,17.0
501911,501911,17.0
501912,501912,17.0
501913,501913,18.0
501914,501914,18.0
501915,501915,17.0
501916,501916,17.0
501917,501917,16.0
501918,501918,16.0
501919,501919,16.0
501920,501920,16.0
501921,501921,15.0
501922,501922,15.0
501923,501923,15.0
501924,501924,14.0
501925,501925,14.0
501926,501926,14.0
501927,501927,13.0
501928,501928,13.0
501929,501929,13.0
501930,501930,13.0
501931,501931,13.0
501932,501932,13.0
501933,501933,12.0
501934,501934,13.0
501935,501935,12.0
501936,501936,12.0
501937,501937,12.0
501938,501938,13.0
501939,501939,13.0
501940,501940,13.0
501941,501941,13.0
501942,501942,14.0
501943,501943,15.0
501944,501944,17.0
501945,501945,17.0
501946,501946,17.0
501947,501947,16.0
501948,501948,17.0
501949,501949,17.0
501950,501950,17.0
501951,501951,17.0
501952,501952,18.0
501953,501953,17.0
501954,501954,17.0
501955,501955,17.0
501956,501956,17.0
501957,501957,17.0
501958,501958,17.0
501959,501959,16.0
501960,501960,16.0
501961,501961,17.0
501962,501962,16.0
501963,501963,3.0
501964,501964,3.0
501965,501965,3.0
501966,501966,3.0
501967,501967,3.0
501968,501968,3.0
501969,501969,3.0
501970,501970,3.0
501971,501971,3.0
501972,501972,3.0
501973,501973,3.0
501974,501974,3.0
501975,501975,7.0
501976,501976,7.0
501977,501977,7.0
501978,501978,7.0
501979,501979,7.0
501980,501980,7.0
501981,501981,7.0
501982,501982,7.0
501983,501983,7.0
501984,501984,7.0
501985,501985,7.0
501986,501986,7.0
501987,501987,7.0
501988,501988,7.0
501989,501989,7.0
501990,501990,7.0
501991,501991,7.0
501992,501992,7.0
501993,501993,7.0
501994,501994,7.0
501995,501995,7.0
501996,501996,7.0
501997,501997,7.0
501998,501998,7.0
501999,501999,7.0
502000,502000,7.0
502001,502001,7.0
502002,502002,7.0
502003,502003,7.0
502004,502004,7.0
502005,502005,7.0
502006,502006,7.0
502007,502007,7.0
502008,502008,7.0
502009,502009,7.0
502010,502010,7.0
502011,502011,7.0
502012,502012,7.0
502013,502013,7.0
502014,502014,7.0
502015,502015,7.0
502016,502016,7.0
502017,502017,7.0
502018,502018,7.0
502019,502019,7.0
502020,502020,7.0
502021,502021,7.0
502022,502022,7.0
502023,502023,7.0
502024,502024,7.0
502025,502025,7.0
502026,502026,7.0
502027,502027,7.0
502028,502028,7.0
502029,502029,7.0
502030,502030,7.0
502031,502031,7.0
502032,502032,7.0
502033,502033,7.0
502034,502034,7.0
502035,502035,7.0
502036,502036,7.0
502037,502037,7.0
502038,502038,7.0
502039,502039,7.0
502040,502040,7.0
502041,502041,7.0
502042,502042,7.0
502043,502043,7.0
502044,502044,7.0
502045,502045,7.0
502046,502046,7.0
502047,502047,7.0
502048,502048,7.0
502049,502049,7.0
502050,502050,7.0
502051,502051,7.0
502052,502052,3.0
502053,502053,3.0
502054,502054,3.0
502055,502055,3.0
502056,502056,3.0
502057,502057,3.0
502058,502058,3.0
502059,502059,3.0
502060,502060,3.0
502061,502061,3.0
502062,502062,3.0
502063,502063,3.0
502064,502064,3.0
502065,502065,3.0
502066,502066,3.0
502067,502067,3.0
502068,502068,3.0
502069,502069,3.0
502070,502070,166.0
