,Unnamed: 0,dishwasher
5952622,5952622,3.0
5952623,5952623,14.0
5952624,5952624,13.0
5952625,5952625,12.0
5952626,5952626,13.0
5952627,5952627,13.0
5952628,5952628,12.0
5952629,5952629,13.0
5952630,5952630,13.0
5952631,5952631,13.0
5952632,5952632,13.0
5952633,5952633,13.0
5952634,5952634,13.0
5952635,5952635,13.0
5952636,5952636,13.0
5952637,5952637,13.0
5952638,5952638,13.0
5952639,5952639,13.0
5952640,5952640,13.0
5952641,5952641,13.0
5952642,5952642,13.0
5952643,5952643,13.0
5952644,5952644,13.0
5952645,5952645,13.0
5952646,5952646,13.0
5952647,5952647,13.0
5952648,5952648,13.0
5952649,5952649,13.0
5952650,5952650,13.0
5952651,5952651,13.0
5952652,5952652,13.0
5952653,5952653,13.0
5952654,5952654,13.0
5952655,5952655,13.0
5952656,5952656,13.0
5952657,5952657,13.0
5952658,5952658,12.0
5952659,5952659,13.0
5952660,5952660,13.0
5952661,5952661,13.0
5952662,5952662,13.0
5952663,5952663,13.0
5952664,5952664,13.0
5952665,5952665,13.0
5952666,5952666,13.0
5952667,5952667,13.0
5952668,5952668,13.0
5952669,5952669,14.0
5952670,5952670,13.0
5952671,5952671,13.0
5952672,5952672,14.0
5952673,5952673,14.0
5952674,5952674,14.0
5952675,5952675,14.0
5952676,5952676,14.0
5952677,5952677,14.0
5952678,5952678,14.0
5952679,5952679,14.0
5952680,5952680,14.0
5952681,5952681,15.0
5952682,5952682,15.0
5952683,5952683,15.0
5952684,5952684,15.0
5952685,5952685,15.0
5952686,5952686,15.0
5952687,5952687,15.0
5952688,5952688,15.0
5952689,5952689,15.0
5952690,5952690,15.0
5952691,5952691,15.0
5952692,5952692,15.0
5952693,5952693,15.0
5952694,5952694,15.0
5952695,5952695,15.0
5952696,5952696,15.0
5952697,5952697,15.0
5952698,5952698,15.0
5952699,5952699,14.0
5952700,5952700,14.0
5952701,5952701,14.0
5952702,5952702,14.0
5952703,5952703,14.0
5952704,5952704,14.0
5952705,5952705,14.0
5952706,5952706,14.0
5952707,5952707,14.0
5952708,5952708,14.0
5952709,5952709,14.0
5952710,5952710,14.0
5952711,5952711,14.0
5952712,5952712,14.0
5952713,5952713,14.0
5952714,5952714,14.0
5952715,5952715,14.0
5952716,5952716,14.0
5952717,5952717,14.0
5952718,5952718,14.0
5952719,5952719,13.0
5952720,5952720,14.0
5952721,5952721,14.0
5952722,5952722,14.0
5952723,5952723,14.0
5952724,5952724,13.0
5952725,5952725,13.0
5952726,5952726,13.0
5952727,5952727,14.0
5952728,5952728,13.0
5952729,5952729,13.0
