,Unnamed: 0,dishwasher
3099516,3099516,26.0
3099517,3099517,65.0
3099518,3099518,13.0
3099519,3099519,13.0
3099520,3099520,14.0
3099521,3099521,13.0
3099522,3099522,14.0
3099523,3099523,13.0
3099524,3099524,13.0
3099525,3099525,14.0
3099526,3099526,14.0
3099527,3099527,14.0
3099528,3099528,14.0
3099529,3099529,14.0
3099530,3099530,14.0
3099531,3099531,14.0
3099532,3099532,15.0
3099533,3099533,15.0
3099534,3099534,15.0
3099535,3099535,15.0
3099536,3099536,16.0
3099537,3099537,16.0
3099538,3099538,16.0
3099539,3099539,17.0
3099540,3099540,17.0
3099541,3099541,17.0
3099542,3099542,17.0
3099543,3099543,17.0
3099544,3099544,17.0
3099545,3099545,18.0
3099546,3099546,18.0
3099547,3099547,18.0
3099548,3099548,18.0
3099549,3099549,17.0
3099550,3099550,17.0
3099551,3099551,17.0
3099552,3099552,15.0
3099553,3099553,15.0
3099554,3099554,15.0
3099555,3099555,14.0
3099556,3099556,14.0
3099557,3099557,14.0
3099558,3099558,13.0
3099559,3099559,13.0
3099560,3099560,12.0
3099561,3099561,13.0
3099562,3099562,13.0
3099563,3099563,13.0
3099564,3099564,12.0
3099565,3099565,12.0
3099566,3099566,13.0
3099567,3099567,13.0
3099568,3099568,14.0
3099569,3099569,13.0
3099570,3099570,13.0
3099571,3099571,13.0
3099572,3099572,13.0
3099573,3099573,14.0
3099574,3099574,14.0
3099575,3099575,14.0
3099576,3099576,15.0
3099577,3099577,14.0
3099578,3099578,15.0
3099579,3099579,15.0
3099580,3099580,15.0
3099581,3099581,16.0
3099582,3099582,16.0
3099583,3099583,16.0
3099584,3099584,16.0
3099585,3099585,17.0
3099586,3099586,17.0
3099587,3099587,17.0
3099588,3099588,18.0
3099589,3099589,18.0
3099590,3099590,18.0
3099591,3099591,18.0
3099592,3099592,17.0
3099593,3099593,17.0
3099594,3099594,16.0
3099595,3099595,13.0
3099596,3099596,13.0
3099597,3099597,13.0
3099598,3099598,13.0
3099599,3099599,13.0
3099600,3099600,13.0
3099601,3099601,13.0
3099602,3099602,12.0
3099603,3099603,13.0
3099604,3099604,13.0
3099605,3099605,13.0
3099606,3099606,14.0
3099607,3099607,14.0
3099608,3099608,14.0
3099609,3099609,14.0
3099610,3099610,15.0
3099611,3099611,15.0
3099612,3099612,15.0
3099613,3099613,16.0
3099614,3099614,16.0
3099615,3099615,16.0
3099616,3099616,16.0
