,time,dryer
1125,2216125,1319
1126,2216126,310
1127,2216127,306
1128,2216128,310
1129,2216129,5815
1130,2216130,5742
1131,2216131,5684
1132,2216132,5638
1133,2216133,5590
1134,2216134,5562
1135,2216135,5555
1136,2216136,5482
1137,2216137,5461
1138,2216138,5448
1139,2216139,5423
1140,2216140,5421
1141,2216141,5439
1142,2216142,5413
1143,2216143,5405
1144,2216144,5433
1145,2216145,5433
1146,2216146,5456
1147,2216147,5449
1148,2216148,5431
1149,2216149,5438
1150,2216150,5435
1151,2216151,5436
1152,2216152,5453
1153,2216153,5445
1154,2216154,5427
1155,2216155,5437
1156,2216156,5425
1157,2216157,5434
1158,2216158,5453
1159,2216159,5436
1160,2216160,5422
1161,2216161,5445
1162,2216162,5442
1163,2216163,5456
1164,2216164,5458
1165,2216165,5431
1166,2216166,5416
1167,2216167,5402
1168,2216168,5394
1169,2216169,5444
1170,2216170,5428
1171,2216171,5417
1172,2216172,5426
1173,2216173,5419
1174,2216174,5429
1175,2216175,5452
1176,2216176,5429
1177,2216177,5411
1178,2216178,5406
1179,2216179,5422
1180,2216180,5424
1181,2216181,5419
1182,2216182,5403
1183,2216183,5396
1184,2216184,5410
1185,2216185,5404
1186,2216186,5423
1187,2216187,5435
1188,2216188,5420
1189,2216189,5412
1190,2216190,5438
1191,2216191,5412
1192,2216192,5412
1193,2216193,5405
1194,2216194,5404
1195,2216195,5409
1196,2216196,5406
1197,2216197,5408
1198,2216198,5443
1199,2216199,5431
1200,2216200,5400
1201,2216201,5404
1202,2216202,5390
1203,2216203,5387
1204,2216204,5422
1205,2216205,5414
1206,2216206,5401
1207,2216207,5400
1208,2216208,5389
1209,2216209,5365
1210,2216210,5400
1211,2216211,5389
1212,2216212,5403
1213,2216213,5404
1214,2216214,5391
1215,2216215,5403
1216,2216216,5425
1217,2216217,5395
1218,2216218,5389
1219,2216219,5392
1220,2216220,5394
1221,2216221,5419
1222,2216222,5430
1223,2216223,5391
1224,2216224,5391
1225,2216225,5388
1226,2216226,5389
1227,2216227,5423
1228,2216228,5396
1229,2216229,5388
1230,2216230,5392
1231,2216231,5400
1232,2216232,5381
1233,2216233,5410
1234,2216234,5414
1235,2216235,5399
1236,2216236,5410
1237,2216237,5399
1238,2216238,5397
1239,2216239,5413
1240,2216240,5414
1241,2216241,5405
1242,2216242,5407
1243,2216243,5412
1244,2216244,5419
1245,2216245,5386
