,time,dryer
2291,1600291,5392
2292,1600292,5383
2293,1600293,5402
2294,1600294,5395
2295,1600295,5402
2296,1600296,5415
2297,1600297,5402
2298,1600298,5398
2299,1600299,5396
2300,1600300,5399
2301,1600301,5404
2302,1600302,5406
2303,1600303,5402
2304,1600304,5405
2305,1600305,5425
2306,1600306,5420
2307,1600307,5415
2308,1600308,5439
2309,1600309,5424
2310,1600310,5415
2311,1600311,5432
2312,1600312,5421
2313,1600313,5410
2314,1600314,5440
2315,1600315,5431
2316,1600316,5417
2317,1600317,5428
2318,1600318,5425
2319,1600319,5421
2320,1600320,5439
2321,1600321,5411
2322,1600322,5407
2323,1600323,5413
2324,1600324,5410
2325,1600325,5408
2326,1600326,5426
2327,1600327,5415
2328,1600328,5422
2329,1600329,5420
2330,1600330,5421
2331,1600331,5404
2332,1600332,5431
2333,1600333,5448
2334,1600334,5419
2335,1600335,5407
2336,1600336,5417
2337,1600337,5417
2338,1600338,5444
2339,1600339,5436
2340,1600340,5424
2341,1600341,5426
2342,1600342,5429
2343,1600343,5411
2344,1600344,5409
2345,1600345,5431
2346,1600346,5404
2347,1600347,5376
2348,1600348,5392
2349,1600349,5389
2350,1600350,5401
2351,1600351,5423
2352,1600352,5411
2353,1600353,5407
2354,1600354,5414
2355,1600355,5365
2356,1600356,5360
2357,1600357,5377
2358,1600358,5369
2359,1600359,5354
2360,1600360,5379
2361,1600361,5374
2362,1600362,5397
2363,1600363,5414
2364,1600364,5386
2365,1600365,5370
2366,1600366,5383
2367,1600367,5380
2368,1600368,5362
2369,1600369,5379
2370,1600370,5377
2371,1600371,5357
2372,1600372,5373
2373,1600373,5364
2374,1600374,5361
2375,1600375,5388
2376,1600376,5377
2377,1600377,5353
2378,1600378,5368
2379,1600379,5364
2380,1600380,5377
2381,1600381,5399
2382,1600382,5387
2383,1600383,5365
2384,1600384,5373
2385,1600385,5368
2386,1600386,5371
2387,1600387,5382
2388,1600388,5377
2389,1600389,5372
2390,1600390,5360
2391,1600391,5356
2392,1600392,5356
2393,1600393,5377
2394,1600394,5401
2395,1600395,5361
2396,1600396,5365
2397,1600397,5374
2398,1600398,5348
2399,1600399,5367
2400,1600400,5372
2401,1600401,5369
2402,1600402,5363
2403,1600403,5367
2404,1600404,5360
2405,1600405,5364
2406,1600406,5395
2407,1600407,5361
2408,1600408,5395
2409,1600409,5403
2410,1600410,5398
2411,1600411,5396
2412,1600412,5415
2413,1600413,5393
2414,1600414,5382
2415,1600415,5402
2416,1600416,5392
2417,1600417,5399
2418,1600418,5421
2419,1600419,5404
2420,1600420,5395
2421,1600421,5422
2422,1600422,5402
2423,1600423,5409
2424,1600424,5437
2425,1600425,5414
2426,1600426,5387
2427,1600427,5399
2428,1600428,5394
2429,1600429,5396
2430,1600430,5417
2431,1600431,5408
2432,1600432,5388
2433,1600433,5399
2434,1600434,5387
2435,1600435,5390
2436,1600436,5405
2437,1600437,5412
2438,1600438,5378
2439,1600439,5394
2440,1600440,5392
2441,1600441,5392
2442,1600442,5401
2443,1600443,5396
2444,1600444,5375
2445,1600445,5360
2446,1600446,5371
2447,1600447,5377
2448,1600448,5385
2449,1600449,5386
2450,1600450,5378
2451,1600451,5375
2452,1600452,5385
2453,1600453,5375
2454,1600454,5381
2455,1600455,5412
2456,1600456,5381
2457,1600457,5381
2458,1600458,5385
2459,1600459,5387
2460,1600460,5392
2461,1600461,5410
2462,1600462,5405
2463,1600463,5388
2464,1600464,5395
2465,1600465,5383
2466,1600466,2373
2467,1600467,2872
2468,1600468,2854
2469,1600469,2832
2470,1600470,2849
2471,1600471,2845
2472,1600472,2843
2473,1600473,2873
2474,1600474,2860
2475,1600475,2849
2476,1600476,2850
2477,1600477,2845
2478,1600478,2856
2479,1600479,2866
2480,1600480,2867
2481,1600481,2867
2482,1600482,2857
2483,1600483,2862
2484,1600484,2855
2485,1600485,2868
2486,1600486,2872
2487,1600487,2857
2488,1600488,2868
2489,1600489,2863
2490,1600490,2863
2491,1600491,2869
2492,1600492,2881
2493,1600493,2858
2494,1600494,2844
2495,1600495,2841
2496,1600496,2824
2497,1600497,2833
2498,1600498,2858
2499,1600499,2836
2500,1600500,2823
2501,1600501,2835
2502,1600502,2845
2503,1600503,2852
2504,1600504,2872
2505,1600505,2862
2506,1600506,2855
2507,1600507,2858
2508,1600508,2831
2509,1600509,2827
2510,1600510,2858
2511,1600511,2857
2512,1600512,2844
2513,1600513,2853
2514,1600514,2848
2515,1600515,2851
2516,1600516,2873
2517,1600517,2869
2518,1600518,2871
2519,1600519,2855
2520,1600520,2854
2521,1600521,2853
2522,1600522,2858
2523,1600523,2861
2524,1600524,2846
2525,1600525,2836
2526,1600526,2851
2527,1600527,2854
2528,1600528,2862
2529,1600529,2889
2530,1600530,2857
2531,1600531,2846
2532,1600532,2867
2533,1600533,2862
2534,1600534,2858
2535,1600535,2882
2536,1600536,2855
2537,1600537,2844
2538,1600538,2858
2539,1600539,2850
2540,1600540,2847
2541,1600541,2872
2542,1600542,2863
2543,1600543,2848
2544,1600544,2863
2545,1600545,2857
2546,1600546,2852
2547,1600547,2872
2548,1600548,2859
2549,1600549,2851
2550,1600550,2862
2551,1600551,2853
2552,1600552,2850
2553,1600553,2852
2554,1600554,2843
2555,1600555,2824
2556,1600556,2832
2557,1600557,2834
2558,1600558,2825
2559,1600559,2862
2560,1600560,2848
2561,1600561,275
2562,1600562,266
2563,1600563,269
2564,1600564,261
2565,1600565,286
2566,1600566,282
2567,1600567,275
2568,1600568,277
2569,1600569,274
2570,1600570,268
2571,1600571,283
2572,1600572,296
2573,1600573,271
2574,1600574,273
2575,1600575,269
2576,1600576,265
2577,1600577,282
2578,1600578,293
2579,1600579,277
2580,1600580,274
2581,1600581,274
2582,1600582,270
2583,1600583,274
2584,1600584,286
2585,1600585,273
2586,1600586,269
2587,1600587,269
2588,1600588,268
2589,1600589,264
2590,1600590,287
2591,1600591,264
2592,1600592,252
2593,1600593,263
2594,1600594,246
2595,1600595,258
2596,1600596,293
2597,1600597,290
2598,1600598,272
2599,1600599,282
2600,1600600,272
2601,1600601,278
2602,1600602,301
2603,1600603,294
2604,1600604,270
2605,1600605,275
2606,1600606,272
2607,1600607,263
2608,1600608,285
2609,1600609,293
2610,1600610,277
2611,1600611,275
2612,1600612,267
2613,1600613,264
2614,1600614,278
2615,1600615,292
2616,1600616,266
2617,1600617,259
2618,1600618,273
2619,1600619,253
2620,1600620,269
2621,1600621,285
2622,1600622,274
2623,1600623,276
2624,1600624,287
2625,1600625,274
2626,1600626,274
2627,1600627,294
2628,1600628,283
2629,1600629,261
2630,1600630,278
2631,1600631,262
2632,1600632,264
2633,1600633,288
2634,1600634,279
2635,1600635,246
2636,1600636,258
2637,1600637,277
2638,1600638,276
2639,1600639,287
2640,1600640,282
2641,1600641,263
2642,1600642,284
2643,1600643,284
2644,1600644,270
2645,1600645,282
2646,1600646,296
2647,1600647,268
2648,1600648,275
2649,1600649,278
2650,1600650,267
2651,1600651,284
2652,1600652,295
2653,1600653,279
2654,1600654,286
2655,1600655,284
2656,1600656,277
2657,1600657,288
2658,1600658,300
2659,1600659,269
2660,1600660,263
2661,1600661,273
2662,1600662,265
2663,1600663,271
2664,1600664,305
2665,1600665,275
2666,1600666,265
2667,1600667,277
2668,1600668,273
2669,1600669,266
2670,1600670,284
2671,1600671,273
2672,1600672,264
2673,1600673,281
2674,1600674,264
2675,1600675,273
2676,1600676,303
2677,1600677,288
2678,1600678,258
2679,1600679,275
2680,1600680,272
2681,1600681,273
2682,1600682,292
2683,1600683,285
2684,1600684,266
2685,1600685,274
2686,1600686,262
2687,1600687,258
2688,1600688,275
2689,1600689,287
2690,1600690,271
2691,1600691,275
2692,1600692,276
2693,1600693,268
2694,1600694,276
2695,1600695,296
2696,1600696,282
2697,1600697,273
2698,1600698,280
2699,1600699,280
2700,1600700,285
2701,1600701,296
2702,1600702,266
2703,1600703,266
2704,1600704,294
2705,1600705,3061
2706,1600706,3044
2707,1600707,3025
2708,1600708,2983
2709,1600709,2939
2710,1600710,2930
2711,1600711,2914
2712,1600712,2896
2713,1600713,2911
2714,1600714,2871
2715,1600715,2865
2716,1600716,2869
2717,1600717,2862
2718,1600718,2853
2719,1600719,2864
2720,1600720,2861
2721,1600721,2852
2722,1600722,2851
2723,1600723,2845
2724,1600724,2843
2725,1600725,2859
2726,1600726,2865
2727,1600727,2847
2728,1600728,2866
2729,1600729,2870
2730,1600730,2863
2731,1600731,2872
2732,1600732,2878
2733,1600733,2861
2734,1600734,2859
2735,1600735,2873
2736,1600736,2864
2737,1600737,2866
2738,1600738,2879
2739,1600739,2866
2740,1600740,2865
2741,1600741,2870
2742,1600742,2862
2743,1600743,2873
2744,1600744,2892
2745,1600745,2873
2746,1600746,2869
2747,1600747,2882
2748,1600748,2871
2749,1600749,2875
2750,1600750,2887
2751,1600751,2862
2752,1600752,2854
2753,1600753,2859
2754,1600754,2853
2755,1600755,2862
2756,1600756,2890
2757,1600757,2872
2758,1600758,2853
2759,1600759,2879
2760,1600760,2868
2761,1600761,2868
2762,1600762,2890
2763,1600763,2878
2764,1600764,2853
2765,1600765,2865
2766,1600766,2858
2767,1600767,2846
2768,1600768,2859
2769,1600769,2871
2770,1600770,2837
2771,1600771,2846
2772,1600772,2841
2773,1600773,2849
2774,1600774,2887
2775,1600775,2887
2776,1600776,2848
2777,1600777,2850
2778,1600778,2848
2779,1600779,2834
2780,1600780,2861
2781,1600781,2868
2782,1600782,2845
2783,1600783,2832
2784,1600784,2858
2785,1600785,2848
2786,1600786,2875
2787,1600787,2880
2788,1600788,2851
2789,1600789,2857
2790,1600790,2861
2791,1600791,2860
2792,1600792,2868
2793,1600793,2875
2794,1600794,2848
2795,1600795,2852
2796,1600796,2854
2797,1600797,2856
2798,1600798,2857
2799,1600799,299
2800,1600800,272
2801,1600801,274
2802,1600802,283
2803,1600803,266
2804,1600804,272
2805,1600805,286
2806,1600806,276
2807,1600807,255
2808,1600808,269
2809,1600809,269
2810,1600810,270
2811,1600811,295
2812,1600812,296
2813,1600813,284
2814,1600814,279
2815,1600815,273
2816,1600816,271
2817,1600817,296
2818,1600818,299
2819,1600819,273
2820,1600820,283
2821,1600821,286
2822,1600822,271
2823,1600823,296
2824,1600824,295
2825,1600825,258
2826,1600826,266
2827,1600827,262
2828,1600828,252
2829,1600829,276
2830,1600830,293
2831,1600831,267
2832,1600832,265
2833,1600833,268
2834,1600834,266
2835,1600835,284
2836,1600836,296
2837,1600837,275
2838,1600838,259
2839,1600839,277
2840,1600840,252
2841,1600841,267
2842,1600842,294
2843,1600843,273
2844,1600844,267
2845,1600845,280
2846,1600846,265
2847,1600847,275
2848,1600848,294
2849,1600849,284
2850,1600850,277
2851,1600851,285
2852,1600852,273
2853,1600853,258
2854,1600854,292
2855,1600855,268
2856,1600856,263
