,time,dryer
33325,2808325,3975
33326,2808326,287
33327,2808327,294
33328,2808328,308
33329,2808329,5749
33330,2808330,5640
33331,2808331,5595
33332,2808332,5528
33333,2808333,5477
33334,2808334,5463
33335,2808335,5419
33336,2808336,5401
33337,2808337,5399
33338,2808338,5356
33339,2808339,5338
33340,2808340,5340
33341,2808341,5316
33342,2808342,5322
33343,2808343,5328
33344,2808344,5313
33345,2808345,5299
33346,2808346,5306
33347,2808347,5317
33348,2808348,5325
33349,2808349,5329
33350,2808350,5315
33351,2808351,5316
33352,2808352,5328
33353,2808353,5313
33354,2808354,5324
33355,2808355,5331
33356,2808356,5301
33357,2808357,5298
33358,2808358,5269
33359,2808359,5260
33360,2808360,5298
33361,2808361,5301
33362,2808362,5279
33363,2808363,5288
33364,2808364,5293
33365,2808365,5271
33366,2808366,5300
33367,2808367,5286
33368,2808368,5268
33369,2808369,5271
33370,2808370,5280
33371,2808371,5263
33372,2808372,5295
33373,2808373,5273
33374,2808374,5268
33375,2808375,5274
33376,2808376,5268
33377,2808377,5267
33378,2808378,5289
33379,2808379,5292
33380,2808380,5277
33381,2808381,5287
33382,2808382,5311
33383,2808383,5303
33384,2808384,5313
33385,2808385,5276
33386,2808386,5259
33387,2808387,5280
33388,2808388,5269
33389,2808389,5269
33390,2808390,5290
33391,2808391,5282
33392,2808392,5284
33393,2808393,5278
33394,2808394,5259
33395,2808395,5257
33396,2808396,5285
33397,2808397,5266
33398,2808398,5259
33399,2808399,5272
33400,2808400,5267
33401,2808401,5295
33402,2808402,5324
33403,2808403,5307
33404,2808404,5306
33405,2808405,5302
33406,2808406,5265
33407,2808407,5266
33408,2808408,5292
33409,2808409,5270
33410,2808410,5272
33411,2808411,5274
33412,2808412,5285
33413,2808413,5295
33414,2808414,5296
33415,2808415,5270
33416,2808416,5285
33417,2808417,5287
33418,2808418,5282
33419,2808419,5292
33420,2808420,5321
33421,2808421,5298
33422,2808422,5283
33423,2808423,5291
33424,2808424,5286
33425,2808425,5307
33426,2808426,5311
33427,2808427,5278
33428,2808428,5293
33429,2808429,5288
33430,2808430,5277
33431,2808431,5306
33432,2808432,5294
33433,2808433,5267
33434,2808434,5265
33435,2808435,5258
33436,2808436,5253
33437,2808437,5279
33438,2808438,5249
33439,2808439,5236
33440,2808440,5251
33441,2808441,5246
33442,2808442,5240
