,time,washer
0,3329600,2
1,3329601,2
2,3329602,3
3,3329603,2
4,3329604,2
5,3329605,3
6,3329606,2
7,3329607,2
8,3329608,3
9,3329609,3
10,3329610,2
11,3329611,3
12,3329612,3
13,3329613,3
14,3329614,3
15,3329615,3
16,3329616,3
17,3329617,3
18,3329618,3
19,3329619,3
20,3329620,3
21,3329621,3
22,3329622,2
23,3329623,3
24,3329624,3
25,3329625,2
26,3329626,3
27,3329627,3
28,3329628,3
29,3329629,3
30,3329630,2
31,3329631,3
32,3329632,3
33,3329633,3
34,3329634,3
35,3329635,19
36,3329636,173
37,3329637,407
38,3329638,3
39,3329639,3
40,3329640,3
41,3329641,4
42,3329642,3
43,3329643,4
44,3329644,3
45,3329645,3
46,3329646,3
47,3329647,4
48,3329648,3
49,3329649,37
50,3329650,41
51,3329651,39
52,3329652,39
53,3329653,38
54,3329654,39
55,3329655,39
56,3329656,40
57,3329657,38
58,3329658,38
59,3329659,39
60,3329660,199
61,3329661,68
62,3329662,31
63,3329663,60
64,3329664,47
65,3329665,48
66,3329666,12
67,3329667,9
68,3329668,30
69,3329669,41
70,3329670,55
71,3329671,48
72,3329672,17
73,3329673,9
74,3329674,8
75,3329675,8
76,3329676,9
77,3329677,9
78,3329678,9
79,3329679,8
80,3329680,151
81,3329681,154
82,3329682,66
83,3329683,97
84,3329684,29
85,3329685,49
86,3329686,45
87,3329687,88
88,3329688,76
89,3329689,50
90,3329690,6
91,3329691,37
92,3329692,65
93,3329693,9
94,3329694,9
95,3329695,9
96,3329696,8
97,3329697,9
98,3329698,9
99,3329699,89
100,3329700,189
101,3329701,417
102,3329702,54
103,3329703,143
104,3329704,77
105,3329705,119
106,3329706,64
107,3329707,36
108,3329708,56
109,3329709,55
110,3329710,60
111,3329711,80
112,3329712,87
113,3329713,97
114,3329714,120
115,3329715,144
116,3329716,8
117,3329717,8
118,3329718,9
119,3329719,9
120,3329720,9
121,3329721,9
122,3329722,166
123,3329723,139
124,3329724,166
125,3329725,97
126,3329726,14
127,3329727,45
128,3329728,54
129,3329729,75
130,3329730,143
131,3329731,51
132,3329732,82
133,3329733,123
134,3329734,170
135,3329735,8
136,3329736,9
137,3329737,8
138,3329738,8
139,3329739,9
140,3329740,9
141,3329741,9
142,3329742,188
143,3329743,179
144,3329744,255
145,3329745,88
146,3329746,39
147,3329747,67
148,3329748,76
149,3329749,119
150,3329750,36
151,3329751,56
152,3329752,67
153,3329753,11
154,3329754,15
155,3329755,8
156,3329756,9
157,3329757,9
158,3329758,9
159,3329759,9
160,3329760,8
161,3329761,808
162,3329762,257
163,3329763,215
164,3329764,129
165,3329765,75
166,3329766,63
167,3329767,52
168,3329768,48
169,3329769,65
170,3329770,143
171,3329771,181
172,3329772,200
173,3329773,108
174,3329774,9
175,3329775,9
176,3329776,9
177,3329777,8
178,3329778,9
179,3329779,9
180,3329780,8
181,3329781,182
182,3329782,418
183,3329783,265
184,3329784,312
185,3329785,293
186,3329786,227
187,3329787,103
188,3329788,116
189,3329789,178
190,3329790,205
191,3329791,253
192,3329792,174
193,3329793,137
194,3329794,209
195,3329795,350
196,3329796,9
197,3329797,8
198,3329798,8
199,3329799,9
200,3329800,9
201,3329801,8
202,3329802,245
203,3329803,239
204,3329804,250
205,3329805,285
206,3329806,68
207,3329807,109
208,3329808,191
209,3329809,314
210,3329810,229
211,3329811,52
212,3329812,64
213,3329813,193
214,3329814,212
215,3329815,3
216,3329816,4
217,3329817,3
218,3329818,4
219,3329819,3
220,3329820,3
221,3329821,7
222,3329822,425
223,3329823,315
224,3329824,211
225,3329825,330
226,3329826,411
227,3329827,352
228,3329828,129
229,3329829,141
230,3329830,281
231,3329831,285
232,3329832,44
233,3329833,95
