,time,washer
0,2790000,2
1,2790001,2
2,2790002,2
3,2790003,2
4,2790004,2
5,2790005,2
6,2790006,2
7,2790007,2
8,2790008,2
9,2790009,2
10,2790010,2
11,2790011,2
12,2790012,2
13,2790013,2
14,2790014,2
15,2790015,2
16,2790016,2
17,2790017,2
18,2790018,2
19,2790019,2
20,2790020,2
21,2790021,2
22,2790022,2
23,2790023,2
24,2790024,2
25,2790025,3
26,2790026,2
27,2790027,2
28,2790028,2
29,2790029,2
30,2790030,2
31,2790031,2
32,2790032,2
33,2790033,2
34,2790034,2
35,2790035,2
36,2790036,2
37,2790037,2
38,2790038,2
39,2790039,2
40,2790040,2
41,2790041,2
42,2790042,2
43,2790043,2
44,2790044,2
45,2790045,2
46,2790046,2
47,2790047,2
48,2790048,2
49,2790049,2
50,2790050,2
51,2790051,2
52,2790052,2
53,2790053,2
54,2790054,2
55,2790055,2
56,2790056,2
57,2790057,2
58,2790058,2
59,2790059,2
60,2790060,2
61,2790061,2
62,2790062,2
63,2790063,2
64,2790064,2
65,2790065,2
66,2790066,2
67,2790067,2
68,2790068,2
69,2790069,2
70,2790070,2
71,2790071,2
72,2790072,2
73,2790073,2
74,2790074,2
75,2790075,2
76,2790076,2
77,2790077,2
78,2790078,2
79,2790079,2
80,2790080,2
81,2790081,2
82,2790082,2
83,2790083,2
84,2790084,2
85,2790085,2
86,2790086,2
87,2790087,2
88,2790088,2
89,2790089,2
90,2790090,2
91,2790091,2
92,2790092,2
93,2790093,2
94,2790094,2
95,2790095,2
96,2790096,2
97,2790097,2
98,2790098,2
99,2790099,2
100,2790100,2
101,2790101,2
102,2790102,2
103,2790103,2
104,2790104,2
105,2790105,2
106,2790106,2
107,2790107,2
108,2790108,2
109,2790109,2
110,2790110,2
111,2790111,2
112,2790112,2
113,2790113,2
114,2790114,2
115,2790115,2
116,2790116,2
117,2790117,2
118,2790118,2
119,2790119,2
120,2790120,2
121,2790121,2
122,2790122,2
123,2790123,2
124,2790124,2
125,2790125,2
126,2790126,2
127,2790127,2
128,2790128,2
129,2790129,2
130,2790130,2
131,2790131,2
132,2790132,2
133,2790133,2
134,2790134,2
135,2790135,2
136,2790136,2
137,2790137,2
138,2790138,2
139,2790139,2
140,2790140,2
141,2790141,2
142,2790142,2
143,2790143,2
144,2790144,2
145,2790145,3
146,2790146,2
147,2790147,2
148,2790148,2
149,2790149,2
150,2790150,2
151,2790151,2
152,2790152,2
153,2790153,2
154,2790154,2
155,2790155,2
156,2790156,2
157,2790157,2
158,2790158,2
159,2790159,2
160,2790160,2
161,2790161,2
162,2790162,2
163,2790163,2
164,2790164,2
165,2790165,2
166,2790166,2
167,2790167,2
168,2790168,2
169,2790169,2
170,2790170,2
171,2790171,2
172,2790172,2
173,2790173,2
174,2790174,2
175,2790175,2
176,2790176,2
177,2790177,2
178,2790178,2
179,2790179,2
180,2790180,2
181,2790181,2
182,2790182,2
183,2790183,2
184,2790184,2
185,2790185,2
186,2790186,2
187,2790187,2
188,2790188,2
189,2790189,2
190,2790190,2
191,2790191,2
192,2790192,2
193,2790193,2
194,2790194,2
195,2790195,2
196,2790196,2
197,2790197,2
198,2790198,2
199,2790199,2
200,2790200,2
201,2790201,2
202,2790202,2
203,2790203,2
204,2790204,2
205,2790205,2
206,2790206,2
207,2790207,2
208,2790208,2
209,2790209,2
210,2790210,2
211,2790211,2
212,2790212,2
213,2790213,2
214,2790214,2
215,2790215,2
216,2790216,2
217,2790217,2
218,2790218,2
219,2790219,2
220,2790220,2
221,2790221,2
222,2790222,2
