,time,washer
0,1770000,4
1,1770001,2
2,1770002,2
3,1770003,2
4,1770004,2
5,1770005,2
6,1770006,2
7,1770007,2
8,1770008,2
9,1770009,2
10,1770010,2
11,1770011,2
12,1770012,2
13,1770013,2
14,1770014,2
15,1770015,2
16,1770016,2
17,1770017,2
18,1770018,2
19,1770019,3
20,1770020,2
21,1770021,2
22,1770022,2
23,1770023,2
24,1770024,2
25,1770025,2
26,1770026,2
27,1770027,2
28,1770028,2
29,1770029,2
30,1770030,2
31,1770031,2
32,1770032,2
33,1770033,3
34,1770034,2
35,1770035,2
36,1770036,2
37,1770037,2
38,1770038,2
39,1770039,2
40,1770040,2
41,1770041,2
42,1770042,2
43,1770043,2
44,1770044,2
45,1770045,2
46,1770046,2
47,1770047,3
48,1770048,3
49,1770049,2
50,1770050,2
51,1770051,3
52,1770052,2
53,1770053,2
54,1770054,3
55,1770055,2
56,1770056,2
57,1770057,2
58,1770058,2
59,1770059,2
60,1770060,2
61,1770061,2
62,1770062,2
63,1770063,2
64,1770064,2
65,1770065,2
66,1770066,2
67,1770067,2
68,1770068,2
69,1770069,2
70,1770070,2
71,1770071,2
72,1770072,2
73,1770073,2
74,1770074,2
75,1770075,3
76,1770076,2
77,1770077,2
78,1770078,2
79,1770079,2
80,1770080,2
81,1770081,2
82,1770082,2
83,1770083,2
84,1770084,2
85,1770085,2
86,1770086,2
87,1770087,2
88,1770088,2
89,1770089,2
90,1770090,2
91,1770091,2
92,1770092,2
93,1770093,2
94,1770094,2
95,1770095,2
96,1770096,3
97,1770097,2
98,1770098,2
99,1770099,2
100,1770100,2
101,1770101,2
102,1770102,2
103,1770103,2
104,1770104,2
105,1770105,2
106,1770106,2
107,1770107,2
108,1770108,2
109,1770109,2
110,1770110,2
111,1770111,2
112,1770112,2
113,1770113,2
114,1770114,2
115,1770115,2
116,1770116,2
117,1770117,2
118,1770118,2
119,1770119,2
120,1770120,2
121,1770121,2
122,1770122,2
123,1770123,2
124,1770124,2
125,1770125,2
126,1770126,2
127,1770127,2
128,1770128,2
129,1770129,2
130,1770130,2
131,1770131,3
132,1770132,2
133,1770133,2
134,1770134,2
135,1770135,2
136,1770136,2
137,1770137,2
