,time,washer
0,2620000,2
1,2620001,2
2,2620002,2
3,2620003,2
4,2620004,2
5,2620005,2
6,2620006,2
7,2620007,2
8,2620008,2
9,2620009,2
10,2620010,2
11,2620011,2
12,2620012,2
13,2620013,2
14,2620014,2
15,2620015,2
16,2620016,2
17,2620017,2
18,2620018,2
19,2620019,2
20,2620020,2
21,2620021,2
22,2620022,2
23,2620023,2
24,2620024,2
25,2620025,2
26,2620026,2
27,2620027,2
28,2620028,2
29,2620029,2
30,2620030,2
31,2620031,2
32,2620032,2
33,2620033,2
34,2620034,2
35,2620035,2
36,2620036,2
37,2620037,2
38,2620038,2
39,2620039,2
40,2620040,2
41,2620041,2
42,2620042,2
43,2620043,2
44,2620044,2
45,2620045,2
46,2620046,2
47,2620047,2
48,2620048,2
49,2620049,2
50,2620050,2
51,2620051,2
52,2620052,2
53,2620053,2
54,2620054,2
55,2620055,2
56,2620056,2
57,2620057,2
58,2620058,2
59,2620059,2
60,2620060,2
61,2620061,2
62,2620062,2
63,2620063,2
64,2620064,2
65,2620065,2
66,2620066,2
67,2620067,2
68,2620068,2
69,2620069,2
70,2620070,2
71,2620071,2
72,2620072,2
73,2620073,2
74,2620074,2
75,2620075,2
76,2620076,2
77,2620077,2
78,2620078,2
79,2620079,2
80,2620080,2
81,2620081,2
82,2620082,2
83,2620083,2
84,2620084,2
85,2620085,2
86,2620086,2
87,2620087,2
88,2620088,2
89,2620089,2
90,2620090,2
91,2620091,2
92,2620092,2
93,2620093,2
94,2620094,2
95,2620095,2
96,2620096,2
97,2620097,2
98,2620098,2
99,2620099,2
100,2620100,2
101,2620101,2
102,2620102,2
103,2620103,2
104,2620104,2
105,2620105,2
106,2620106,2
107,2620107,2
108,2620108,2
109,2620109,2
110,2620110,2
111,2620111,2
112,2620112,2
113,2620113,2
114,2620114,2
115,2620115,2
116,2620116,2
117,2620117,2
118,2620118,2
119,2620119,2
120,2620120,3
121,2620121,2
122,2620122,2
123,2620123,2
124,2620124,2
125,2620125,2
126,2620126,2
127,2620127,2
128,2620128,2
129,2620129,2
130,2620130,2
131,2620131,2
132,2620132,2
133,2620133,2
134,2620134,2
135,2620135,2
136,2620136,2
137,2620137,3
138,2620138,2
139,2620139,2
140,2620140,2
141,2620141,2
142,2620142,2
143,2620143,2
144,2620144,2
145,2620145,2
146,2620146,2
147,2620147,2
148,2620148,2
149,2620149,2
150,2620150,2
151,2620151,2
152,2620152,2
153,2620153,2
154,2620154,2
155,2620155,2
156,2620156,2
157,2620157,3
158,2620158,2
159,2620159,2
160,2620160,2
161,2620161,2
162,2620162,2
163,2620163,2
164,2620164,2
165,2620165,2
166,2620166,2
167,2620167,2
168,2620168,2
169,2620169,2
170,2620170,2
171,2620171,2
172,2620172,2
173,2620173,2
174,2620174,2
175,2620175,2
176,2620176,2
177,2620177,2
178,2620178,2
179,2620179,2
180,2620180,2
181,2620181,2
182,2620182,2
183,2620183,2
184,2620184,2
185,2620185,2
186,2620186,2
187,2620187,2
188,2620188,2
189,2620189,2
190,2620190,2
191,2620191,2
192,2620192,2
193,2620193,2
194,2620194,2
195,2620195,2
196,2620196,2
197,2620197,2
198,2620198,2
199,2620199,2
200,2620200,2
201,2620201,2
202,2620202,2
203,2620203,2
204,2620204,2
205,2620205,2
206,2620206,2
207,2620207,2
208,2620208,2
209,2620209,2
210,2620210,2
211,2620211,2
212,2620212,2
213,2620213,2
214,2620214,2
