,time,washer
0,2720000,2
1,2720001,2
2,2720002,2
3,2720003,2
4,2720004,2
5,2720005,2
6,2720006,2
7,2720007,2
8,2720008,2
9,2720009,2
10,2720010,2
11,2720011,2
12,2720012,2
13,2720013,2
14,2720014,2
15,2720015,2
16,2720016,2
17,2720017,2
18,2720018,2
19,2720019,2
20,2720020,2
21,2720021,2
22,2720022,2
23,2720023,2
24,2720024,2
25,2720025,2
26,2720026,2
27,2720027,2
28,2720028,2
29,2720029,2
30,2720030,2
31,2720031,2
32,2720032,2
33,2720033,2
34,2720034,2
35,2720035,2
36,2720036,2
37,2720037,2
38,2720038,1
39,2720039,2
40,2720040,2
41,2720041,2
42,2720042,2
43,2720043,2
44,2720044,2
45,2720045,2
46,2720046,2
47,2720047,2
48,2720048,2
49,2720049,2
50,2720050,2
51,2720051,2
52,2720052,2
53,2720053,2
54,2720054,2
55,2720055,2
56,2720056,2
57,2720057,2
58,2720058,2
59,2720059,2
60,2720060,2
61,2720061,2
62,2720062,2
63,2720063,2
64,2720064,2
65,2720065,2
66,2720066,2
67,2720067,2
68,2720068,2
69,2720069,2
70,2720070,2
71,2720071,2
72,2720072,2
73,2720073,3
74,2720074,2
75,2720075,2
76,2720076,2
77,2720077,2
78,2720078,2
79,2720079,2
80,2720080,2
81,2720081,2
82,2720082,2
83,2720083,1
84,2720084,3
85,2720085,2
86,2720086,2
87,2720087,2
88,2720088,2
89,2720089,2
90,2720090,2
91,2720091,2
92,2720092,2
93,2720093,2
94,2720094,1
95,2720095,2
96,2720096,2
97,2720097,2
98,2720098,2
99,2720099,2
100,2720100,2
101,2720101,2
102,2720102,2
103,2720103,2
104,2720104,2
105,2720105,2
106,2720106,2
107,2720107,2
108,2720108,2
109,2720109,2
110,2720110,2
111,2720111,2
112,2720112,2
113,2720113,2
114,2720114,3
115,2720115,1
116,2720116,2
117,2720117,2
118,2720118,2
119,2720119,2
120,2720120,2
121,2720121,2
122,2720122,2
123,2720123,2
124,2720124,2
125,2720125,2
126,2720126,2
127,2720127,2
128,2720128,2
129,2720129,2
130,2720130,2
131,2720131,2
132,2720132,2
133,2720133,2
134,2720134,2
135,2720135,2
136,2720136,2
137,2720137,3
138,2720138,2
139,2720139,2
140,2720140,3
141,2720141,2
142,2720142,2
143,2720143,2
144,2720144,2
145,2720145,2
146,2720146,2
147,2720147,2
148,2720148,2
149,2720149,2
150,2720150,2
151,2720151,2
152,2720152,2
153,2720153,2
154,2720154,2
155,2720155,1
156,2720156,3
157,2720157,2
158,2720158,2
159,2720159,2
160,2720160,3
161,2720161,2
162,2720162,2
163,2720163,3
164,2720164,2
165,2720165,2
166,2720166,2
167,2720167,2
168,2720168,2
169,2720169,2
170,2720170,2
171,2720171,2
172,2720172,2
173,2720173,2
174,2720174,3
175,2720175,2
176,2720176,2
177,2720177,2
178,2720178,2
179,2720179,2
180,2720180,2
181,2720181,2
182,2720182,2
183,2720183,2
184,2720184,2
185,2720185,2
186,2720186,2
187,2720187,2
188,2720188,2
189,2720189,2
190,2720190,2
191,2720191,2
192,2720192,2
193,2720193,2
194,2720194,2
195,2720195,2
196,2720196,2
197,2720197,3
198,2720198,2
199,2720199,2
200,2720200,2
201,2720201,2
202,2720202,3
203,2720203,3
204,2720204,2
205,2720205,2
206,2720206,2
207,2720207,2
208,2720208,2
209,2720209,2
210,2720210,2
211,2720211,2
212,2720212,2
213,2720213,2
214,2720214,2
215,2720215,2
216,2720216,2
217,2720217,2
218,2720218,2
219,2720219,2
220,2720220,3
221,2720221,2
222,2720222,2
223,2720223,3
224,2720224,2
225,2720225,2
226,2720226,2
227,2720227,2
228,2720228,2
229,2720229,2
230,2720230,2
231,2720231,2
232,2720232,2
233,2720233,2
234,2720234,2
235,2720235,2
236,2720236,2
237,2720237,2
238,2720238,3
239,2720239,2
240,2720240,2
241,2720241,2
242,2720242,2
243,2720243,2
244,2720244,2
245,2720245,2
246,2720246,2
247,2720247,2
248,2720248,2
249,2720249,2
250,2720250,2
251,2720251,2
252,2720252,2
253,2720253,2
254,2720254,2
255,2720255,2
256,2720256,2
257,2720257,2
258,2720258,2
259,2720259,2
260,2720260,2
261,2720261,2
262,2720262,1
263,2720263,2
264,2720264,1
265,2720265,2
266,2720266,2
267,2720267,2
268,2720268,2
269,2720269,2
270,2720270,2
271,2720271,2
272,2720272,2
273,2720273,2
274,2720274,2
275,2720275,3
276,2720276,1
277,2720277,2
278,2720278,2
279,2720279,2
280,2720280,1
281,2720281,2
282,2720282,2
283,2720283,2
284,2720284,2
285,2720285,2
286,2720286,2
287,2720287,2
288,2720288,2
289,2720289,2
290,2720290,2
291,2720291,2
292,2720292,2
293,2720293,2
294,2720294,2
295,2720295,2
296,2720296,3
297,2720297,2
298,2720298,2
299,2720299,2
300,2720300,2
301,2720301,2
302,2720302,2
303,2720303,3
304,2720304,2
305,2720305,2
306,2720306,2
307,2720307,2
308,2720308,2
309,2720309,2
310,2720310,2
311,2720311,2
312,2720312,2
313,2720313,2
314,2720314,2
315,2720315,2
316,2720316,2
317,2720317,2
318,2720318,2
319,2720319,2
320,2720320,3
321,2720321,2
322,2720322,2
323,2720323,2
324,2720324,2
325,2720325,2
326,2720326,2
327,2720327,2
328,2720328,2
329,2720329,2
330,2720330,2
331,2720331,2
332,2720332,2
333,2720333,2
334,2720334,2
335,2720335,2
336,2720336,2
337,2720337,2
338,2720338,2
339,2720339,2
340,2720340,2
341,2720341,2
342,2720342,2
343,2720343,2
344,2720344,2
345,2720345,2
346,2720346,2
347,2720347,2
348,2720348,2
349,2720349,2
350,2720350,2
351,2720351,2
352,2720352,2
353,2720353,2
354,2720354,2
355,2720355,2
356,2720356,2
357,2720357,2
358,2720358,2
359,2720359,2
360,2720360,2
361,2720361,2
362,2720362,2
363,2720363,2
364,2720364,2
365,2720365,2
366,2720366,2
367,2720367,2
368,2720368,2
369,2720369,2
370,2720370,2
371,2720371,2
372,2720372,2
373,2720373,2
374,2720374,2
375,2720375,2
376,2720376,2
377,2720377,2
378,2720378,2
379,2720379,2
380,2720380,2
381,2720381,2
382,2720382,2
383,2720383,2
384,2720384,2
385,2720385,2
386,2720386,2
387,2720387,2
388,2720388,2
389,2720389,2
390,2720390,2
391,2720391,2
392,2720392,2
393,2720393,2
394,2720394,2
395,2720395,2
396,2720396,2
397,2720397,2
398,2720398,2
399,2720399,2
400,2720400,2
401,2720401,2
402,2720402,2
403,2720403,2
404,2720404,2
405,2720405,1
406,2720406,2
407,2720407,2
408,2720408,2
409,2720409,2
410,2720410,2
411,2720411,2
412,2720412,2
413,2720413,1
414,2720414,2
415,2720415,1
416,2720416,2
417,2720417,2
418,2720418,3
419,2720419,2
420,2720420,3
421,2720421,2
422,2720422,2
423,2720423,2
424,2720424,2
425,2720425,2
426,2720426,2
427,2720427,2
428,2720428,2
429,2720429,2
430,2720430,2
431,2720431,2
432,2720432,2
433,2720433,2
434,2720434,2
435,2720435,2
436,2720436,2
437,2720437,2
438,2720438,2
439,2720439,2
440,2720440,2
441,2720441,2
442,2720442,2
443,2720443,2
444,2720444,2
445,2720445,2
446,2720446,2
447,2720447,2
448,2720448,2
449,2720449,2
450,2720450,2
451,2720451,2
452,2720452,2
453,2720453,2
454,2720454,2
455,2720455,2
456,2720456,2
457,2720457,2
458,2720458,2
459,2720459,2
460,2720460,2
461,2720461,2
462,2720462,2
463,2720463,2
464,2720464,2
465,2720465,2
466,2720466,2
467,2720467,2
468,2720468,2
469,2720469,2
470,2720470,2
471,2720471,2
472,2720472,2
473,2720473,2
474,2720474,2
475,2720475,2
476,2720476,2
477,2720477,2
478,2720478,2
479,2720479,2
480,2720480,2
481,2720481,2
482,2720482,2
483,2720483,2
484,2720484,2
485,2720485,3
486,2720486,2
487,2720487,2
488,2720488,2
489,2720489,2
490,2720490,2
491,2720491,2
492,2720492,2
493,2720493,3
494,2720494,2
495,2720495,2
496,2720496,2
497,2720497,2
498,2720498,2
499,2720499,2
500,2720500,2
501,2720501,2
502,2720502,2
503,2720503,2
504,2720504,2
505,2720505,2
506,2720506,2
507,2720507,2
508,2720508,2
509,2720509,2
510,2720510,2
511,2720511,2
512,2720512,2
513,2720513,2
514,2720514,2
515,2720515,2
516,2720516,2
517,2720517,2
518,2720518,2
519,2720519,2
520,2720520,2
521,2720521,2
522,2720522,2
523,2720523,2
524,2720524,2
525,2720525,2
526,2720526,2
527,2720527,2
528,2720528,2
529,2720529,2
530,2720530,3
531,2720531,2
532,2720532,2
533,2720533,2
534,2720534,2
535,2720535,2
536,2720536,2
537,2720537,2
538,2720538,2
539,2720539,2
540,2720540,2
541,2720541,3
542,2720542,2
543,2720543,2
544,2720544,2
545,2720545,2
546,2720546,2
547,2720547,2
548,2720548,2
549,2720549,2
550,2720550,2
551,2720551,2
552,2720552,2
553,2720553,2
554,2720554,2
555,2720555,2
556,2720556,2
557,2720557,2
558,2720558,2
559,2720559,2
560,2720560,2
561,2720561,2
562,2720562,2
563,2720563,2
564,2720564,2
565,2720565,2
566,2720566,2
567,2720567,2
568,2720568,2
569,2720569,2
570,2720570,2
571,2720571,2
572,2720572,3
573,2720573,2
574,2720574,2
575,2720575,2
576,2720576,2
577,2720577,2
578,2720578,2
579,2720579,2
580,2720580,2
581,2720581,2
582,2720582,2
583,2720583,2
584,2720584,2
585,2720585,2
586,2720586,2
