,time,washer
0,4400000,2
1,4400001,1
2,4400002,2
3,4400003,2
4,4400004,2
5,4400005,2
6,4400006,2
7,4400007,2
8,4400008,2
9,4400009,2
10,4400010,2
11,4400011,2
12,4400012,2
13,4400013,2
14,4400014,2
15,4400015,2
16,4400016,2
17,4400017,2
18,4400018,2
19,4400019,2
20,4400020,2
21,4400021,2
22,4400022,4
23,4400023,2
24,4400024,2
25,4400025,2
26,4400026,2
27,4400027,2
28,4400028,2
29,4400029,2
30,4400030,2
31,4400031,2
32,4400032,2
33,4400033,2
34,4400034,2
35,4400035,2
36,4400036,2
37,4400037,2
38,4400038,2
39,4400039,2
40,4400040,2
41,4400041,2
42,4400042,2
43,4400043,2
44,4400044,2
45,4400045,2
46,4400046,2
47,4400047,2
48,4400048,2
49,4400049,2
50,4400050,2
51,4400051,2
52,4400052,2
53,4400053,2
54,4400054,2
55,4400055,2
56,4400056,2
57,4400057,2
58,4400058,2
59,4400059,2
60,4400060,2
61,4400061,2
62,4400062,2
63,4400063,2
64,4400064,2
65,4400065,2
66,4400066,2
67,4400067,2
68,4400068,2
69,4400069,2
70,4400070,2
71,4400071,2
72,4400072,2
73,4400073,2
74,4400074,2
75,4400075,2
76,4400076,2
77,4400077,2
78,4400078,2
79,4400079,2
80,4400080,2
81,4400081,2
82,4400082,2
83,4400083,2
84,4400084,2
85,4400085,2
86,4400086,2
87,4400087,2
88,4400088,2
89,4400089,2
90,4400090,2
91,4400091,2
92,4400092,2
93,4400093,2
94,4400094,2
95,4400095,2
96,4400096,2
97,4400097,2
98,4400098,2
99,4400099,2
100,4400100,2
101,4400101,2
102,4400102,2
103,4400103,2
104,4400104,2
105,4400105,2
106,4400106,2
107,4400107,2
108,4400108,2
109,4400109,2
110,4400110,2
111,4400111,2
112,4400112,2
113,4400113,2
114,4400114,2
115,4400115,2
116,4400116,2
117,4400117,2
118,4400118,2
119,4400119,2
120,4400120,2
121,4400121,2
122,4400122,2
123,4400123,2
124,4400124,2
125,4400125,2
126,4400126,2
127,4400127,2
128,4400128,2
129,4400129,2
130,4400130,2
131,4400131,2
132,4400132,3
133,4400133,2
134,4400134,2
135,4400135,2
136,4400136,2
137,4400137,2
138,4400138,2
139,4400139,2
140,4400140,2
141,4400141,2
142,4400142,2
143,4400143,2
144,4400144,2
145,4400145,2
146,4400146,2
147,4400147,2
148,4400148,2
149,4400149,2
150,4400150,2
151,4400151,2
152,4400152,2
153,4400153,2
154,4400154,2
155,4400155,2
156,4400156,2
157,4400157,2
158,4400158,2
159,4400159,2
160,4400160,2
161,4400161,2
162,4400162,2
163,4400163,2
164,4400164,2
165,4400165,2
166,4400166,2
167,4400167,2
168,4400168,2
169,4400169,2
170,4400170,2
171,4400171,2
172,4400172,2
173,4400173,2
174,4400174,2
175,4400175,2
176,4400176,2
177,4400177,2
178,4400178,2
179,4400179,2
180,4400180,2
181,4400181,2
182,4400182,2
183,4400183,2
184,4400184,2
185,4400185,2
186,4400186,2
187,4400187,2
188,4400188,2
189,4400189,2
190,4400190,2
191,4400191,2
192,4400192,2
193,4400193,2
194,4400194,2
195,4400195,2
196,4400196,2
197,4400197,2
198,4400198,2
199,4400199,2
200,4400200,2
201,4400201,2
202,4400202,2
203,4400203,2
204,4400204,2
205,4400205,2
206,4400206,2
207,4400207,2
208,4400208,2
209,4400209,2
210,4400210,2
211,4400211,2
212,4400212,2
213,4400213,2
214,4400214,2
215,4400215,2
216,4400216,3
217,4400217,2
218,4400218,2
219,4400219,2
220,4400220,2
221,4400221,2
222,4400222,2
223,4400223,2
224,4400224,2
225,4400225,2
226,4400226,2
227,4400227,2
228,4400228,2
229,4400229,2
230,4400230,2
231,4400231,2
232,4400232,2
233,4400233,2
234,4400234,2
235,4400235,2
236,4400236,2
237,4400237,2
238,4400238,2
239,4400239,2
240,4400240,2
241,4400241,2
242,4400242,2
243,4400243,2
244,4400244,2
245,4400245,2
246,4400246,2
247,4400247,2
248,4400248,2
249,4400249,2
250,4400250,2
251,4400251,2
252,4400252,2
253,4400253,2
254,4400254,2
255,4400255,2
256,4400256,2
257,4400257,2
258,4400258,2
259,4400259,2
260,4400260,2
261,4400261,2
262,4400262,2
263,4400263,2
264,4400264,2
265,4400265,2
266,4400266,2
267,4400267,2
268,4400268,2
269,4400269,2
270,4400270,2
271,4400271,2
272,4400272,2
273,4400273,2
274,4400274,2
275,4400275,2
276,4400276,2
277,4400277,2
278,4400278,2
279,4400279,2
280,4400280,3
281,4400281,2
282,4400282,2
283,4400283,2
284,4400284,2
285,4400285,2
286,4400286,2
287,4400287,2
288,4400288,2
289,4400289,2
290,4400290,2
291,4400291,2
292,4400292,2
293,4400293,2
294,4400294,2
295,4400295,2
296,4400296,2
297,4400297,2
298,4400298,2
299,4400299,2
300,4400300,2
301,4400301,2
302,4400302,2
303,4400303,2
304,4400304,2
305,4400305,2
306,4400306,2
307,4400307,2
308,4400308,2
309,4400309,2
310,4400310,2
311,4400311,2
312,4400312,2
313,4400313,2
314,4400314,2
315,4400315,2
316,4400316,2
317,4400317,2
318,4400318,2
319,4400319,2
320,4400320,2
321,4400321,2
322,4400322,2
323,4400323,2
324,4400324,2
325,4400325,2
326,4400326,2
327,4400327,2
328,4400328,2
329,4400329,2
330,4400330,2
331,4400331,2
332,4400332,2
333,4400333,2
334,4400334,2
335,4400335,2
336,4400336,2
337,4400337,2
338,4400338,2
339,4400339,2
340,4400340,2
341,4400341,2
342,4400342,2
343,4400343,2
344,4400344,2
345,4400345,2
346,4400346,2
347,4400347,2
348,4400348,2
349,4400349,2
350,4400350,2
351,4400351,2
352,4400352,2
353,4400353,2
354,4400354,2
355,4400355,2
356,4400356,2
357,4400357,2
358,4400358,2
359,4400359,2
360,4400360,2
361,4400361,2
362,4400362,2
363,4400363,2
364,4400364,2
365,4400365,2
366,4400366,2
367,4400367,2
368,4400368,2
369,4400369,2
370,4400370,2
371,4400371,2
372,4400372,2
373,4400373,2
374,4400374,2
375,4400375,3
376,4400376,2
377,4400377,2
378,4400378,2
379,4400379,2
380,4400380,2
381,4400381,2
382,4400382,2
383,4400383,2
384,4400384,2
385,4400385,2
386,4400386,2
387,4400387,2
388,4400388,2
389,4400389,2
390,4400390,2
391,4400391,2
392,4400392,2
393,4400393,2
394,4400394,2
395,4400395,2
396,4400396,2
397,4400397,2
398,4400398,2
399,4400399,2
400,4400400,2
401,4400401,2
402,4400402,2
403,4400403,2
404,4400404,2
405,4400405,2
406,4400406,2
407,4400407,2
408,4400408,2
409,4400409,2
410,4400410,2
411,4400411,2
412,4400412,2
413,4400413,2
414,4400414,2
415,4400415,2
416,4400416,2
417,4400417,2
418,4400418,2
419,4400419,2
420,4400420,2
421,4400421,2
422,4400422,2
423,4400423,2
424,4400424,2
425,4400425,2
426,4400426,2
427,4400427,2
428,4400428,2
429,4400429,2
430,4400430,2
431,4400431,2
432,4400432,2
433,4400433,2
434,4400434,2
435,4400435,2
436,4400436,2
437,4400437,2
438,4400438,2
439,4400439,2
440,4400440,2
441,4400441,2
442,4400442,2
443,4400443,2
444,4400444,2
445,4400445,2
446,4400446,2
447,4400447,2
448,4400448,2
449,4400449,2
450,4400450,2
