,time,washer
0,920000,2
1,920001,2
2,920002,2
3,920003,2
4,920004,2
5,920005,2
6,920006,2
7,920007,2
8,920008,2
9,920009,2
10,920010,2
11,920011,2
12,920012,2
13,920013,2
14,920014,2
15,920015,2
16,920016,2
17,920017,2
18,920018,2
19,920019,2
20,920020,2
21,920021,2
22,920022,2
23,920023,2
24,920024,2
25,920025,2
26,920026,2
27,920027,2
28,920028,2
29,920029,2
30,920030,2
31,920031,2
32,920032,2
33,920033,2
34,920034,2
35,920035,2
36,920036,2
37,920037,2
38,920038,2
39,920039,2
40,920040,2
41,920041,2
42,920042,2
43,920043,2
44,920044,2
45,920045,2
46,920046,2
47,920047,2
48,920048,2
49,920049,2
50,920050,2
51,920051,2
52,920052,2
53,920053,2
54,920054,2
55,920055,2
56,920056,2
57,920057,2
58,920058,2
59,920059,2
60,920060,2
61,920061,2
62,920062,2
63,920063,2
64,920064,2
65,920065,2
66,920066,2
67,920067,2
68,920068,2
69,920069,2
70,920070,2
71,920071,2
72,920072,2
73,920073,2
74,920074,2
75,920075,2
76,920076,2
77,920077,2
78,920078,2
79,920079,2
80,920080,2
81,920081,2
82,920082,2
83,920083,2
84,920084,2
85,920085,2
86,920086,2
87,920087,2
88,920088,2
89,920089,2
90,920090,2
91,920091,2
92,920092,2
93,920093,2
94,920094,2
95,920095,2
96,920096,2
97,920097,2
98,920098,2
99,920099,2
100,920100,2
101,920101,2
102,920102,2
103,920103,2
104,920104,2
105,920105,2
106,920106,2
107,920107,3
108,920108,2
109,920109,2
110,920110,2
111,920111,2
112,920112,2
113,920113,2
114,920114,2
115,920115,2
116,920116,2
117,920117,1
118,920118,2
119,920119,2
120,920120,2
121,920121,2
122,920122,2
123,920123,2
124,920124,2
125,920125,1
126,920126,2
127,920127,2
128,920128,2
129,920129,2
130,920130,2
131,920131,2
132,920132,2
133,920133,1
134,920134,2
135,920135,2
136,920136,2
137,920137,2
138,920138,2
139,920139,2
140,920140,2
141,920141,3
142,920142,2
143,920143,2
144,920144,2
145,920145,2
146,920146,2
147,920147,2
148,920148,2
149,920149,1
150,920150,2
151,920151,2
152,920152,2
153,920153,2
154,920154,2
155,920155,2
156,920156,2
157,920157,3
158,920158,2
159,920159,2
160,920160,2
161,920161,2
162,920162,3
163,920163,2
164,920164,2
165,920165,1
166,920166,2
167,920167,2
168,920168,3
169,920169,2
170,920170,2
171,920171,2
172,920172,2
173,920173,1
174,920174,2
175,920175,2
176,920176,2
177,920177,2
178,920178,2
179,920179,2
180,920180,2
181,920181,1
182,920182,2
183,920183,2
184,920184,2
185,920185,2
186,920186,2
187,920187,2
188,920188,2
189,920189,3
190,920190,2
191,920191,2
192,920192,2
193,920193,2
194,920194,2
195,920195,2
196,920196,2
197,920197,2
198,920198,2
199,920199,2
200,920200,2
201,920201,2
202,920202,2
203,920203,2
204,920204,2
205,920205,1
206,920206,2
207,920207,2
208,920208,2
209,920209,2
210,920210,2
211,920211,2
212,920212,2
213,920213,2
214,920214,2
215,920215,2
216,920216,3
217,920217,2
218,920218,2
219,920219,2
220,920220,2
221,920221,3
222,920222,3
223,920223,2
224,920224,2
225,920225,2
226,920226,2
227,920227,2
228,920228,2
229,920229,2
230,920230,2
231,920231,3
232,920232,2
233,920233,2
234,920234,2
235,920235,3
236,920236,2
237,920237,3
238,920238,2
239,920239,2
240,920240,2
241,920241,2
242,920242,2
243,920243,2
244,920244,2
245,920245,1
246,920246,2
247,920247,2
248,920248,2
249,920249,2
250,920250,2
251,920251,2
252,920252,2
253,920253,2
254,920254,2
255,920255,2
256,920256,2
257,920257,2
258,920258,2
259,920259,2
260,920260,2
261,920261,1
262,920262,2
263,920263,2
264,920264,2
265,920265,2
266,920266,2
267,920267,2
268,920268,2
269,920269,1
270,920270,2
271,920271,2
272,920272,2
273,920273,2
274,920274,2
275,920275,2
276,920276,2
277,920277,1
278,920278,2
279,920279,2
280,920280,2
281,920281,2
282,920282,2
283,920283,2
284,920284,3
285,920285,1
286,920286,3
287,920287,2
288,920288,2
289,920289,2
290,920290,2
291,920291,2
292,920292,2
293,920293,2
294,920294,2
295,920295,2
296,920296,2
297,920297,2
298,920298,2
299,920299,2
300,920300,3
301,920301,3
302,920302,2
303,920303,2
304,920304,2
305,920305,2
306,920306,2
307,920307,2
308,920308,2
309,920309,1
310,920310,2
311,920311,2
312,920312,2
313,920313,2
314,920314,2
315,920315,2
316,920316,2
317,920317,2
318,920318,2
319,920319,2
320,920320,2
321,920321,2
322,920322,2
323,920323,2
324,920324,2
325,920325,3
326,920326,2
327,920327,2
328,920328,3
329,920329,2
330,920330,2
331,920331,2
332,920332,2
333,920333,1
334,920334,2
335,920335,2
336,920336,2
337,920337,3
338,920338,2
339,920339,2
340,920340,3
341,920341,1
342,920342,2
343,920343,2
344,920344,2
345,920345,2
346,920346,2
347,920347,2
348,920348,3
349,920349,3
350,920350,2
351,920351,2
352,920352,2
353,920353,2
354,920354,2
355,920355,2
356,920356,2
357,920357,3
358,920358,2
359,920359,3
360,920360,2
361,920361,2
362,920362,2
363,920363,3
364,920364,2
365,920365,2
366,920366,2
367,920367,2
368,920368,2
369,920369,2
370,920370,2
371,920371,2
372,920372,2
373,920373,2
374,920374,3
375,920375,2
376,920376,2
377,920377,2
378,920378,2
379,920379,2
380,920380,2
381,920381,3
382,920382,2
383,920383,2
384,920384,3
385,920385,2
386,920386,2
387,920387,2
388,920388,2
389,920389,2
390,920390,2
